Indonesia ,332,enggarparamita,0,321,Wed Sep 23 18:33:00 +0000 2009,10456,76717523,False,part-time wayfarer
Kenya,165,BWKariuki,15,324,Fri Oct 09 05:12:39 +0000 2009,451,81033746,False,"mother,wife,daughter...passionate about the rights of children and women in Africa -hope to leave the world a better place for my kids generation!"
"Nairobi, Kenya",241,drammaboy,57,289,Tue Sep 01 14:50:18 +0000 2009,3878,70697072,True,"GRAPHIX,MUSIC AND MUSIC VIDEOS,CASTING,TV PRODUCTION,n all that u thinking of....that's me!!retweets dnt necessarily reflect my opinion"
nairobi,192,phyllsheerow,41,244,Mon Jun 13 16:28:55 +0000 2011,1388,316550334,True,"I live for crazy, normal is too boring. #TeamIceCream #TeamNoRegrets #TeamMusic #TeamSmileAlways :) :) :)"
,36,boda2boda,26,242,Sat Jan 08 13:39:49 +0000 2011,1071,235548159,False,"a journalist, photographer, founder boda2boda photography, Christ believer and Follower. Luo lover"
Kenya,59,DeluxeDee,0,84,Sat Feb 11 12:26:40 +0000 2012,454,489330681,False,
kenya,8,muthoga20,5,55,Tue Aug 21 15:21:18 +0000 2012,47,771700676,False,am samuel the man who is crazy whit movies 2 be a actor any one can help (also a wwe)
Nairobi,12,ndolo_erick,5,41,Sun Jun 10 06:36:16 +0000 2012,24,604344834,True,hard to know
"Nairobi,Kenya",141,Diananimu,148,241,Thu Feb 02 17:11:50 +0000 2012,357,481363109,True,Med student
"Nairobi, KE",683,TerryMuli,189,680,Sun May 23 06:57:59 +0000 2010,2076,147110416,True,©God-owned
Dinas Powis ,603,WelshMason,20,350,Sun Dec 18 19:00:47 +0000 2011,18,440242093,False,"Initiated in 735, currently JW in 5997 and SD in 7724, Comp in RA 2925.
Member of Widow's Sons MBA."
nairobi,35,maggie_gathigia,15,108,Fri Apr 13 13:14:33 +0000 2012,130,552769824,True,"sister,daughter loves foreign languages and interested in teaching German,think its quite an adventure"
nairobi,279,LyneveKhoi,52,382,Sun Sep 18 15:52:06 +0000 2011,2196,375699716,True,Sociable and jubilant
nairobi kenya,396,njakai_,85,458,Sun May 31 15:40:12 +0000 2009,15904,43704146,True,"Gate Keeper of the FriendZone.
 #OccupyRubadiri 
#COYS"
oblivion maybe am not sure,795,brikiz,1807,821,Mon Dec 13 15:03:43 +0000 2010,11136,226187766,False,Introvert.gamer.Twitter is my serious a/c the funny one is my bank a/c. #Teamarsenal #TeamForeverAlone #aquarius
,18,AlykhanSorathia,0,117,Fri Oct 26 23:00:40 +0000 2012,40,906938228,False,"Actor,Nomad,Dreamer"
Nairobi,5,phylowasam,16,59,Mon Jul 08 14:51:05 +0000 2013,17,1577881279,True,lyf is too short to mynd about others live ur own lyf
Nairobi,685,VivianNgeny,139,418,Sat Jun 02 11:46:07 +0000 2012,5092,597338093,True,
Mombasa-Nairobi-Paris,117,Nyambok_II,192,598,Sun Jun 03 14:25:53 +0000 2012,4574,598455525,True,"| Fall Into My Only Deepest Attraction |
@MaisonFimoda"
,222,RichardMalachy,32,647,Tue Mar 01 12:05:09 +0000 2011,404,259223562,False,
Colombia - México,450,viajaliviano,32,561,Sun Sep 12 16:22:01 +0000 2010,590,189925980,False,"Viajando juntos desde 1998, planeación, consejos, tips, destinos e información.  Ven a viajar con nosotros. Visita nuestro blog."
,15,GathogoLiz,4,172,Wed Oct 03 06:49:27 +0000 2012,25,859293601,False,
"Nairobi , Kenya",866,nj3ma,198,824,Wed Mar 25 08:26:15 +0000 2009,23764,26456814,True,"Biz Hacker // Speaker // Cloud Tech Evangelist // Web Developer // Linux Aficionado // Maker of stuff //
Kenyan High Commissioner to the Internet"
,2,mwololochris,0,20,Sun Sep 08 04:55:12 +0000 2013,1,1803064602,False,
,4,REDLION97593797,0,28,Fri Jun 15 13:44:19 +0000 2012,9,609115528,False,am kul wid that u av gt.
Mombasa,205,PapaSylk,61,616,Thu Apr 02 07:05:12 +0000 2009,1832,28297695,False,"When it comes to Jesus, I am a fool. When it comes to Arsenal, I am THE #1 fan."
,126,Khohot,5,545,Thu Jan 07 20:40:53 +0000 2010,20,102784695,False,Strategic Marketing Consultant and a Visionary leader with a passion for brand development & Social Entrep. Founder TeEntrepreneur Propelling teens to Success
"Nairobi, Kenya",393,elvise_,6,604,Sun Sep 09 11:13:37 +0000 2012,2026,812910468,True,"Leo; Simple Always, No Complication#teamchelsea#teamrealmadrid#teamkidero#teamgormahia#vybz kartel my prezident#"
+254loor,2599,_Kaana_,536,901,Sun Feb 07 14:58:17 +0000 2010,60090,112185477,False,"[Bildung ist nicht Intelligenz]



| Dichter | Kritiker | HipHop 



[#ManchesterUnited]"
"Nairobi, Kenya",109,samndonga,2,307,Tue Jan 04 09:08:01 +0000 2011,376,233868986,True,"#Transformation, #Change, #Innovation, #Strategy, #Technology, #Development & #Entrepreneurship: things that define my passion and what I strive to do daily!"
Kisii County,22,chepchirch,3,246,Tue Jul 05 09:00:24 +0000 2011,257,329569499,False,
Kenya Nairobi,118,YaominIan,30,668,Sun Nov 27 18:24:21 +0000 2011,413,422807039,True,254 be like England love 254 beings. :-*
"Nbi,KE",61,ShikohN,23,309,Mon Aug 22 08:27:04 +0000 2011,181,359851696,False,A simple God fearing lady with a simple lifestyle
Hyped +254,1673,Eye_zek,206,1632,Sun Mar 20 12:23:00 +0000 2011,14652,269265372,False,Hiphop Junkie(Intellectual movement) |B.A Swimmer |Certified LifeGuard |Getta FOH Conformists |Loves to bamboozle banal |Hates to rant & rave |MUFC
Nairobi Kenya,62,alynkon01,55,256,Mon Aug 06 07:37:54 +0000 2012,1416,740081300,True,I AM WHO I AM
Under your bed ,99,BRAXNIY,99,219,Sat Jul 10 06:20:12 +0000 2010,24626,164967607,False,"When I Tweet, I Tweet to kill! Instagram: aniyonzima"
"Nairobi, Kenya",31,teresiayulu,7,105,Sat Feb 12 08:09:40 +0000 2011,112,251018427,True,"Communications specialist, proudly Kenyan."
Kenya,22,chadnofski,3,100,Tue Jul 12 11:19:21 +0000 2011,141,333970252,False,
Nairobi kenya,26,collnsking,3,117,Tue May 15 08:14:29 +0000 2012,47,580675811,True,"I'm me, loving, caring and handsome.!"
nairobi,59,masievin,4,63,Tue Jan 18 10:39:44 +0000 2011,1277,239755211,True,...lifes goodness...
Nairobi,271,omosh_A,2,274,Fri Apr 20 20:50:43 +0000 2012,3135,558933155,True,#MUFC | Hala Madrid | Lawyer
Nairobi Kenya,16,wambuikip,1,79,Thu Nov 08 06:58:50 +0000 2012,71,933857401,True,
Al Quoz-2 Dubai,105,SAHAMGLOBAL,1,353,Sun Jan 17 03:09:00 +0000 2010,1451,105670641,False,"Saham Global: NatuLogic Bio-Active, Animal, Water, Plant & Soil Treatment Supplements - FEROX Fuel Efficiency Improving Solutions - Magnation Water Technologies"
,5,OBingi,0,20,Sun Sep 08 09:44:42 +0000 2013,1,1823288360,False,
,25,karanjah_haron,5,140,Thu Aug 08 19:31:46 +0000 2013,59,1656056912,False,
"Nairobi,Kenya",902,Blackcharter,15,1190,Mon Feb 21 17:42:43 +0000 2011,4690,255592176,True,"#ENTREPRENEUR
#BillionaireMind
#254TilliDie"
Nairobi Kenya,153,abbey_bera,75,106,Mon Jan 07 11:01:31 +0000 2013,1378,1068034418,True,I belong to Jesus.High on life.♥ Far from mediocre.Proudly Kenyan ♥
Nairobi Kenya,40,TessMbugua1,20,25,Thu Jan 19 15:09:39 +0000 2012,380,468447475,True,life is ........
Nairobi,30,DvjSkinny,0,144,Fri Apr 06 07:23:39 +0000 2012,116,546604055,True,best dj u ever met
"ÜT: -1.2806718,36.8210534",43,Sylvie_sparkles,0,159,Tue Oct 18 15:06:06 +0000 2011,33,393445045,False,"Media consultant,writer,researcher and lecturer"
,2,MarteenMwyt,2,25,Sat Sep 07 12:12:36 +0000 2013,2,1746343818,False,
..ground zero!,68,sha_karigz,0,121,Wed Nov 25 07:01:02 +0000 2009,1581,92467020,False,News and tech basically...
Nairobi,10,StephenTwomlow,1,25,Mon Jul 15 13:13:01 +0000 2013,25,1595823776,True,Dryland Agronomist who loves Diving! Go figure. Currently Climate Specialist with IFAD in ESA promoting the Adaptation for Smallholder Agriculture Programme.
London/Liverpool,66,Ei8htFoot,17,99,Thu Apr 09 16:37:52 +0000 2009,151,30016565,False,Viking
Nairobi,300,lotukoi,619,81,Wed Aug 11 12:17:22 +0000 2010,3130,177164183,True,"Journalist/ Producer at Ghetto Radio 89.5 Fm, Nairobi / Realist"
nairobi kenya,80,danniejnrrocka,2,166,Tue Sep 22 12:49:17 +0000 2009,494,76323805,True,160 words aint enough !!!
juja,569,mchenrio,30,986,Fri Oct 16 16:05:41 +0000 2009,4730,82911651,False,"#teamgormahia
#teamarsenal
#gooner4life"
,50,mashar_,1,78,Fri Mar 04 17:17:17 +0000 2011,310,260814903,False,
Nairobi  kenya,81,martin_ochieng,2,119,Wed May 16 15:40:42 +0000 2012,84,581934958,True,me likie
Nairobi,54,Jorgsme,57,156,Sun Dec 16 02:23:22 +0000 2012,481,1014323006,True,I'm not perfect but I'm me =]
Nairobi,147,EddFx,55,346,Fri Dec 11 13:42:50 +0000 2009,2134,96128214,True,I'm a slave to the dream of being free
"Nairobi, Kenya",1768,nakedpizzakenya,280,1512,Mon Dec 12 19:08:04 +0000 2011,1617,435167238,True,"Naked means natural. Delivering hot & fresh to select neighbourhoods. Order online, call 0707 111 888, or come get Naked* at 16 Mpaka Road, Westlands!
(*Pizza)"
Nairobi ,10,renson_rm,0,295,Fri Sep 06 06:12:19 +0000 2013,2,1734156564,True,"A young poet,talented rugby player. peoples fun. Image admirer. Smooth talker & glamour despenser. Lives in Embakasi Village"
kenya,233,ianfremann,1,336,Mon May 02 05:43:31 +0000 2011,689,291540314,False,
Earth,241,STFUItsVicky,15,172,Mon Jul 19 12:30:44 +0000 2010,5980,168473747,False,Random|Dreamer|Beliver|Genius|Funny|Poet|Son|Brother|Friend|Trust in God|Live.Love.Laugh|Problem child
"Nairobi,Kenya",21,stevekisinga,0,63,Tue Aug 02 10:02:19 +0000 2011,60,347135666,True,Software&android developer|Tech Enthusiast|outgoing|Rebel
worldwide,86,JNduti,32,328,Sun May 01 16:03:39 +0000 2011,833,291186656,False,He died for me and thus i live for him
Norwich/Coventry,288,ChrisPalmer099,67,348,Mon Jun 08 15:54:48 +0000 2009,3493,45595753,False,"This will mostly be about Uni, music and football."
"Merriam, KS",445,chrismiller262,2072,276,Sat Nov 22 17:01:39 +0000 2008,11009,17559576,False,"Well, this is me on Twitter. I heard about it on Geocities."
"kampala, uganda",639,abdussekalala,49,868,Mon Jun 01 08:31:22 +0000 2009,4605,43853816,False,"Geek, Internet junkie, mobile developer,tech enthusiast, entrepreneur"
Kenya,165,LindaMbithe,26,206,Thu Nov 10 17:49:42 +0000 2011,738,409401170,False,"God, Me&MyDreams, Family&RealFriends.Just wanna be a light in someone's darkness:)"
,78,msilikale05,28,226,Sat Aug 27 06:27:02 +0000 2011,251,362925138,False,
,13,PhoebeJoel,0,65,Sun Sep 08 14:39:10 +0000 2013,1,1830055208,False,
Nairobi,12,RizYakub,0,33,Mon May 06 21:04:57 +0000 2013,9,1408725092,True,
,2,nyivah,1,18,Sat Dec 17 16:45:10 +0000 2011,1,439319339,False,
"Nairobi,kenya",257,kevinmaweu,332,352,Sat Apr 04 10:42:19 +0000 2009,7322,28773709,True,Do you know how hard it is to stoop to your level?!
"+254 Eldoret,Kenya",133,Reagan_gift,19,438,Thu Jan 24 06:52:04 +0000 2013,271,1116141770,False,"HipHop
 Junkie| Twitter Addict| Ardent Arsenal fan|Extrovert|Partyboy|Ossen 
High School Class of 2012 |Kenyatta university

FACEBOOK:http://t.co/SD7pQ4ONyb"
Alternate Universe,106,IanNuke,496,175,Wed Dec 02 04:35:53 +0000 2009,2133,94020905,False,I get the last laugh.
,57,isoc_ke,0,60,Mon Dec 17 08:43:04 +0000 2012,162,1017010724,False,Become a member and help shape the future of the internet
,5,KilingaL,0,15,Mon Jan 07 09:29:00 +0000 2013,5,1067887681,False,
,5,noellasefu,0,11,Tue Jun 04 15:38:29 +0000 2013,15,1482580454,False,
london uk,93,mazzy118,3,259,Sat Oct 02 15:51:06 +0000 2010,479,197832178,False,Passionate about Autism! Life is not a dress rehearsal...on the main stage doing the real show as best as i can.
nairobi ,0,wagacinem,1,4,Sun Sep 08 18:27:00 +0000 2013,3,1832807581,True,
,0,RickySang1,0,119,Sun Sep 08 18:53:41 +0000 2013,1,1833051210,False,
,48,aminah_husna,13,59,Sun Jan 13 19:36:08 +0000 2013,385,1087014198,False,I can only chase after a man if he grabs my purse!!
,3,bonfacemumbe,1,55,Wed Jul 31 11:35:10 +0000 2013,2,1635277706,False,
"Nairobi, Kahawa Area",32,eugenemahero,8,333,Sat Jul 30 14:49:14 +0000 2011,18,345399433,True,Introvert Shy Funny Team Arsenal Fan
Nairobi ,29,asoma_evans,15,314,Mon Sep 03 19:20:20 +0000 2012,67,801039486,True,evansasoma
All over the world,285,dakinsade,6,497,Sat Apr 18 10:07:34 +0000 2009,778,32846423,False,"Curious, Humble, Awesome, Cool with an old soul. Techie, Social, Passionate and having a ball"
Nairobi,8,agutuachieng,0,35,Sun Sep 08 01:26:25 +0000 2013,4,1794897504,True,
"Nairobi, Kenya",35,ojudi_henry,3,355,Sat Mar 23 06:11:06 +0000 2013,59,1290582194,True,"I believe in God. Employee-KNPS. Educated but not schooled. I got so much faith in myself, always mistaken for arrogance"
Istanbul,1348,ikivanc,56,426,Thu Nov 06 22:24:36 +0000 2008,5788,17221009,False,Windows 8 Technical Evangelist @Microsoft Middle East&Africa. Computer Engineer. Imagine Cup 2010 Turkey Winner. Former Microsoft Student Partner. UX Enthusiast
Nairobi,2,mogusuthomas,2,14,Thu May 31 10:22:39 +0000 2012,12,595450152,True,misbehaving is my hobby!
,1,orwenjo,0,115,Thu Sep 05 03:20:25 +0000 2013,2,1730663942,False,
,125,israelmusembi,3,724,Fri Nov 12 05:50:58 +0000 2010,999,214775236,False,"Tech & Media Junkie, Dreamer, Creator, and a Writer: of C0d3$.."
Kuala Lumpur,253,akulahpaklan,11,223,Mon Nov 22 03:18:50 +0000 2010,20753,218351962,False,"Berketurunan Jawa yang sangat tipikal. Berkulit gelap, tetapi mengeluh ketika cuaca panas terik."
,3,Bryttoh_bryttoh,2,13,Fri Apr 27 11:11:15 +0000 2012,3,564503942,False,
Kenya,187,ShazChesire,15,145,Mon May 30 15:24:37 +0000 2011,791,307944242,False,"Life is a gift, enjoy it:-)"
Vancouver BC,124,MantSki,67,404,Fri Oct 14 04:50:00 +0000 2011,1179,390553675,False,"#Skiing and #MtnBike Enthusiast, Adventurer, Sales Manager @eaglepassheli , Tech Rep @merrelloutside @ubishops Alum , living on vancouvers #northshore"
,2,SlimShaddyShiqx,0,67,Sun Sep 08 18:52:19 +0000 2013,2,1833099049,False,
machakos,2,SonfanN,1,15,Sun Apr 07 12:49:56 +0000 2013,7,1334018154,False,single saching a lady
"Nairobi, Kenya",302,tomisothedeejay,674,376,Tue Apr 14 09:32:30 +0000 2009,5298,31090220,True,Deejay : Epic★Nation™Live : Blankets & Wine : Party Animal : Fire Starter & Overall Public Nuisance
"Bangalore, India",333,shrinathv,46,503,Sat Apr 04 05:10:26 +0000 2009,955,28745088,False,"Technophile, snap-per, literary addict. LBS and product expert"
"Wild Eye , Johannesburg",82,acebuffey,6,132,Wed Sep 22 16:00:51 +0000 2010,124,193747599,False,
somewhere in the planet,1020,Campjay76,3891,549,Sat Jun 13 17:50:44 +0000 2009,67868,46929681,False,be who you are and stop living life of makin others just happy to pliz them you can't pretend forever be urself
"Long Beach, CA",360,mikethevilla,152,140,Wed Oct 07 21:51:16 +0000 2009,5233,80689837,False,Photographer. Jesus-follower. Lover of anything covered in Sriracha sauce.
,59,kassym2008,13,81,Fri Apr 27 21:25:24 +0000 2012,206,565009800,False,‏‏محد كفو يحاسبني على النقص و الزود محد شرالي فرحتي من حلاله
,6,RaphMutwiri,1,41,Sun May 19 08:20:40 +0000 2013,13,1440588938,False,
Nairobi,133,noriega_stupi,141,614,Sun Dec 19 12:28:14 +0000 2010,2874,228338091,True,MORE N MORE
Nairobi,11,chadbironga,3,24,Wed May 16 06:58:51 +0000 2012,1157,581676816,True,Life's got to be lived once and as such I try to experiment with everything hilarious that comes my way. I live the fun!
nairobi,4681,bitterscroll,8,4352,Sat Jan 28 12:17:53 +0000 2012,2048,476716350,True,sarcasm is my second language
nyansiongo passy,2,BoruraL,2,62,Tue Jul 09 17:37:51 +0000 2013,2,1580980490,False,
"kenya,nairobi",750,chelsea_empire,14,1720,Fri Oct 29 07:13:21 +0000 2010,3330,209462882,True,"Chelsea FC. fans, Africa and Worldwide
Our page is created for you - our fans, and we hope that you will respect our posts, and respond and engage"
"emirates , london",772,ArRsenalll,3,857,Tue Aug 16 19:29:53 +0000 2011,2731,356382055,False,"I luv futbol .
@Arsenal drives me crazyyy !
@Jackwilshere + @cesc4official = my madness"
"Nairobi,Kenya",272,madamconfessor_,8,242,Mon Aug 10 11:46:11 +0000 2009,17408,64384837,True,lily the flower
Nairobu,152,liwsantino48,10,662,Mon Sep 02 07:15:35 +0000 2013,16,1721530363,False,ability will take u up there but you need character to keep you there!
"Nairobi, Kenya",55,AsmaAdan,185,36,Sun May 08 12:39:26 +0000 2011,1084,295133620,True,'Kismat Pe Aaye Naa Yakeen'
,6,rkarua,1,40,Fri Sep 18 09:31:25 +0000 2009,16,75241299,False,
+254,315,GideonNoriega,284,316,Wed Jul 13 12:39:36 +0000 2011,4368,334639718,False,"Anything worth living is worth dying, Anything worth getting is worth trying.-Noriega"
"Nairobi, Kenya",28,GraceMuange,15,46,Thu Jul 08 08:04:38 +0000 2010,127,164196862,True,
Sukari Kenya,176,geegathingu,7,121,Wed May 18 09:44:09 +0000 2011,5916,300761955,False,HHND!!Thats wussup!
nairobi,38,bellahilson,3,134,Mon Jan 02 08:24:16 +0000 2012,40,452818868,True,
south b,0,ToisAllan,0,5,Thu Aug 29 10:05:47 +0000 2013,2,1709627864,False,
,6,kilonzo65,0,114,Wed Sep 04 05:54:48 +0000 2013,1,1727740190,False,
Nairobi ,11,freddangalika,6,114,Tue Jan 15 09:47:04 +0000 2013,80,1091577008,True,Expert real estate agent | 0722785143 | fangalika@aol.com
Lisboa/Odivelas,567,cinemusiques,91,1293,Wed Jun 17 16:45:06 +0000 2009,10495,48024184,False,"Cinema, música, viagens, desporto, TV!"
,5,ochieng_milton,2,133,Tue Aug 13 13:32:26 +0000 2013,12,1667786844,False,
muthangari ,71,Kevinshaban,41,372,Sat Apr 30 08:21:38 +0000 2011,394,290437471,False,"NOT tryn to be famous, am good at  what i do, I do it for love,I do it for fun, I do it for Hip-hop!  ..ur girl is a groupy anyway.. CCNA pro"
,2,aghelle2012,0,152,Mon Sep 09 12:29:34 +0000 2013,1,1845087242,False,
Valley of Peace,2100,Tong_Fo,91,2073,Tue Apr 07 18:38:29 +0000 2009,18961,29510747,False,"Arsenal, Kids, Wife in that order..,Former Virgin, Father, Son, Brother, Amateur Arsonist, Molecular Biologist and Dragon Warrior!!"
,1,AdinoDavid,0,1,Sun May 13 10:55:29 +0000 2012,7,578938710,False,
,1,kenedyaluvanze,1,13,Thu Aug 29 12:20:02 +0000 2013,1,1709912953,False,
37°18′9″S 12°40′28″W,1001,DoktaRotich,145,925,Sat Jun 26 13:17:41 +0000 2010,51692,159837381,False,"Off-season my time of play, night time my time of day."
kenya,540,Applekev,22,847,Sun Apr 04 07:35:45 +0000 2010,8010,129430966,False,Am the Ladies PET. Threat to Men. Turned 21 on 17th July . Student and IT Consultant. 2013 is gunna be the best YEAR in my life
"Nairobi,Kenya",33,stevewangara,4,74,Thu Mar 12 20:50:13 +0000 2009,76,24033597,True,"Businessman - Deals with Vehicle Security Solutions   - Car alarms,Immobilizers,stolen Vehicle Recovery Systems & Fleet management systems,Vehicle entertainment"
,0,awuorfay,1,21,Sat Aug 17 18:12:58 +0000 2013,4,1678843778,False,
nairobi kenya,50,jessicangendo,17,136,Mon Nov 16 06:27:59 +0000 2009,211,90339727,True,This is my Twitter Bio. Thanks for reading
kenya,6,swajuma,1,44,Sun Jun 26 09:13:45 +0000 2011,22,324270835,False,
,32,MainaMiriam,4,39,Wed Feb 22 17:13:40 +0000 2012,40,499955777,False,smiles
Nairobi,186,MissGaeel,410,219,Sat Mar 27 06:14:28 +0000 2010,804,126859512,True,I'm the lights that keep the streets on!!!!Am the word on the streets!!Check the record!!! GOOGLE ME BAIBE
South Africa & Everywhere Else,343,Koodzi,595,443,Sun Mar 01 09:21:26 +0000 2009,11656,22345445,False,living on purpose. connected to the source. SONE. obsessed with excellence. travel. fits among but never fits in. life thangs. http://youtube.com/user/koodziTV
"Nairobi, Kenya",87,Faiz_ibrah,55,658,Thu May 05 18:07:00 +0000 2011,1041,293635765,True,Man of less words | ManUtd true supporter | Father of two lovely sons | Loving Husband.
,0,okumyukuj,0,1,Mon Sep 09 15:34:56 +0000 2013,1,1847533884,False,
,15,UniceJack,3,35,Wed Apr 24 14:36:56 +0000 2013,27,1377183222,False,
Nairobi,39,ericmulatih,0,65,Wed Jan 05 12:49:09 +0000 2011,17,234347932,True,Fearless Influencer!!!
NAIROBI,50,OduorChris,3,145,Tue Jan 31 16:45:18 +0000 2012,719,479665207,True,The man you know.
Kenya ,104,EdwardTambo,0,207,Sun Aug 26 12:24:01 +0000 2012,23,782342606,False,"Music in the soul can be heard by the universe
#HARDWELL...Follow and I just might follow back"
Kenya,70,Vongaya,1,167,Tue Mar 15 06:58:10 +0000 2011,150,266439964,False,
Kenya,136,swanmbaki,20,147,Sat May 28 19:41:27 +0000 2011,1594,306972441,False,"Conservation Biologist, Conservative,simple and blessed. I dont like pretenders. my biggest competitor is me!
Instagram Sueann_22 #TeamJesus# #teamGOT#teamKOT"
"Nairobi,Kenya",448,NyagaDavid,50,1997,Thu Sep 15 09:31:12 +0000 2011,4404,373865692,True,"A young Kenyan,politician and the next president of kenya/0702910327/idiot/political guru/webdesigner/programmer"
,73,MukidzaDarwin,0,69,Mon Mar 18 21:00:02 +0000 2013,25,1278747985,False,
"Los Angeles, CA",63,_DSAK_,74,84,Thu Oct 06 22:56:26 +0000 2011,724,386252427,False,multi-national party poppin
"Nairobi,Kenya",155,NyielNikanora,10,160,Fri Apr 29 09:14:32 +0000 2011,2100,289840196,True,Never take anything seriously..unless God tells you to 
"Kenya,Nairobi",34,Eduniq,0,49,Tue Sep 21 08:23:54 +0000 2010,114,193217584,True,#TeamTGOD #YMCMB #SWAG254 #TeamSmokeOut
Nairobi Kenya ,29,Yrimu19,8,105,Fri Feb 18 17:30:24 +0000 2011,27,254132934,True,Me me me
nairobi,1,gmych1,0,5,Mon Sep 02 14:19:02 +0000 2013,4,1722482168,True,
,0,nywera,2,2,Sat Aug 31 15:25:30 +0000 2013,6,1715993509,False,
,10,Beldie4,0,99,Wed Aug 19 06:40:07 +0000 2009,1,66932113,False,
London,140,WMorgan94,67,481,Fri Aug 19 11:00:41 +0000 2011,934,358091638,False,"NY, Chicago, LA, thats where I should be. 18"
Nairobi,66,lisahbrown92,27,139,Sat Mar 30 13:28:23 +0000 2013,95,1316455009,True,Blessed n destined for greatness!!!
Nigeria,1182,topeoshinogun,50,522,Wed Oct 05 08:02:27 +0000 2011,2346,385304069,False,"Multiple awards winning Filmmaker. Director, Producer, Actor and Casting Director for Film/Television/Radio. CEO, Sunbow Productions Ltd."
,98,ambiguousness_,142,354,Sun Mar 24 17:09:27 +0000 2013,636,1295940726,False,"just an average human rights activist trying to change the world. also, i have become rather obsessed with elephants..."
"nairobi,kenya",89,owillahm,12,153,Tue Sep 08 08:59:49 +0000 2009,1308,72509744,True,Canabis Sativa. Till death do us apart!! Nuff said! :p
"kileleshwa, nairobi, kenya",286,shirekuli,21,579,Sun Jan 31 16:51:17 +0000 2010,487,110181177,True,
Wales,322,RDG_C,311,928,Tue Jun 07 00:04:00 +0000 2011,296,312345509,False,Forensic Telecommunications Engineer and Fireblade rider. Tweets from my account are strictly personal and not on behalf of any of the organisations I work for.
,26,FLY_SLEEP_FLY,2,23,Sat Jun 23 12:28:38 +0000 2012,1553,616072531,False,
"Johannesburg, Gauteng",297,AmeliaBeattie,4,782,Fri Sep 25 12:02:53 +0000 2009,2093,77197503,False,"Loving trail sports, wife of trail runner, mom of 3 girls, passionate about property investments in Africa!"
"Bristol, UK",315,chrisorman,87,746,Thu Jun 11 09:53:16 +0000 2009,3801,46355563,False,"husband, father, friend, Practitioner in PRINCE2 Project Management, lead @projectharambee"
,9,cjay_james,0,57,Tue Mar 05 23:28:19 +0000 2013,17,1244844709,False,
Westie,0,dengibs,0,2,Mon Sep 09 06:57:03 +0000 2013,1,1841047015,False,gibson
"ÜT: 53.39644,-2.260832",427,EmmaLouiseYates,550,793,Tue May 05 18:09:41 +0000 2009,7460,37980734,False,Job: Dental Nurse and Radiographer Team: MCFC Location: Manc What's Next: Africa 2013 !!
,39,joshuamwaka,11,40,Fri Nov 23 08:33:18 +0000 2012,388,965726802,False,..joshua..
,9,CharlesDowo,0,46,Sat Jul 07 15:42:45 +0000 2012,8,629504277,False,
254 Kenya,1004,Mis_Sophie,13,661,Mon Nov 14 18:36:50 +0000 2011,5315,412465666,False,"|The opposite of a slut, because i never give a fuck| 
Intellexual | Socio-Economist | sweet | Rock Music |TeamPetite | Gemini | Daddy's Girl"
,1,petertripping,2,12,Sat Sep 07 11:28:54 +0000 2013,4,1745829019,False,
Nairobi,8,bendors,0,24,Tue Nov 13 09:16:31 +0000 2012,2,945465457,True,"dealing in african jewelry, attires, carvings, wall hangings e.t.c"
Eldoret,39,EvansKich,13,311,Tue Nov 13 11:26:42 +0000 2012,112,945614786,False,Engineer n a man who loves children
"Honolulu, Hawai'i",1055,jeremysnell,58,660,Mon Mar 30 07:06:51 +0000 2009,1788,27599757,False,PHOTOGRAPHER\\CINEMATOGRAPHER\\WORLD TRAVELER
,228,Juliuswanyaga,15,414,Fri Apr 03 09:00:01 +0000 2009,725,28530284,False,Technology Enthusiast| Expert in SME matters | RTM specialist| Retail and Distribution Guru| Change Agent| Husband and Father
,84,missmarciey,6,271,Thu Mar 22 17:57:46 +0000 2012,216,533428422,False,"born again i am God's favorite gal, simple lifestyle tru love believer. bold, daring, smart, super phenomenal woman and amazing future wife to anonymous. BEAUTY"
Kenya,422,InformAction_KE,0,109,Tue Jul 17 18:39:12 +0000 2012,634,701553247,False,Grass roots organisation using film and community discussion to demand political and social accountability. Co-director Maina Kiai occasionally tweets from here
,1,flokeiti,0,5,Wed Aug 28 13:20:10 +0000 2013,1,1707288866,False,
,32,PincherPinchez,4,121,Wed Apr 11 04:31:10 +0000 2012,574,550697311,False,just sharing crazy stuff in 140 or less characters!! ...follow me!!!
,0,MnthengeM,1,22,Sat Aug 24 12:24:31 +0000 2013,3,1696322148,False,
Imara Nairobi,422,den__zel,30,720,Wed Jun 27 16:19:12 +0000 2012,5515,620129606,True,"Kul ...guy ..civil engineering UON...
In love wth B.ball T.Tennis##
Team House n Rock music¢¢¢ 
Ma own role model¥¥¥
Rides on bitches€€€
Arsenal$$$$
Leo"
Nairobi,1215,pontusw,42,518,Tue Jan 27 10:35:59 +0000 2009,7845,19585861,True,"Open data and ICT4D guy at UN-Habitat. Digital campaigner, economist & politics junky. Occasional punk DJ. Starting to prefer Instagram to Twitter."
kampala,28,KalyesubulaTom,0,27,Thu Jan 12 13:39:27 +0000 2012,39,462026664,False,"Currently Member committee Vice President for Product and Business Development for AIESEC Uganda, Local chapter President of AIESEC in Kyambogo2010/11."
nairobi,1285,nmirie19,142,1297,Thu Jun 28 17:41:49 +0000 2012,2546,621174523,True,Have no freaking idea what to write here!
